"Table 2. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision, by Region and Province: 2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021";"Poverty Incidence among Population (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limits) 2018";"95% Confidence Interval (Lower Limits) 2021";"95% Confidence Interval (Lower Limits) 2023";"95% Confidence Interval (Upper Limits) 2018";"95% Confidence Interval (Upper Limits) 2021";"95% Confidence Interval (Upper Limits) 2023"
"....Capiz 3/, a/, b/, c/";22669;26692;33241;6.2;9.5;13.4;14.9;16.1;12.9;0.9;1.5;1.7;4;7;10;8;13;17
"....Guimaras a/, b/, c/";25899;27090;30847;9.5;10.0;6.5;19.7;13.6;27.2;1.9;1.4;1.8;6;7;3;13;13;10
"....Iloilo b/";26113;27821;33440;16.5;17.8;15.2;9.3;10.4;8.9;1.5;1.9;1.3;14;14;13;20;22;18
"..Negros Island Region (NIR) 2/, 3/";24231;26497;34044;21.0;23.6;28.9;7.1;6.0;6.0;1.5;1.4;1.7;18;21;26;24;26;32
"....Negros Occidental 2/, 3/";23692;26782;35741;19.4;21.8;28.2;9.8;8.1;8.0;1.9;1.8;2.3;16;18;24;23;25;33
"....Negros Oriental";25113;26024;30724;25.5;29.3;32.1;9.5;8.7;8.5;2.4;2.5;2.7;21;24;27;30;34;37
"....Siquijor 1/, 3/, a/, b/, c/";25649;25603;31072;10.4;3.4;5.5;19.1;33.4;25.0;2.0;1.1;1.4;7;1;3;14;6;8
"..Region VII (Central Visayas) r2, 1/, 2/";25968;32423;34553;16.1;27.6;17.3;6.9;5.4;6.1;1.1;1.5;1.1;14;25;15;18;31;19
"....Bohol c/";26108;26853;30981;20.9;23.8;19.0;9.7;7.6;10.4;2.0;1.8;2.0;17;20;15;25;27;23
"....Cebu 1/, 2/";25914;33657;35605;14.8;28.6;16.9;8.8;6.3;7.3;1.3;1.8;1.2;12;25;15;17;32;19
"..Region VIII (Eastern Visayas) 3/";24987;26848;32381;30.7;28.9;27.3;3.4;3.8;3.6;1.0;1.1;1.0;29;27;25;33;31;29
"....Biliran 1/, 2/, 3/, c/";24216;28293;28773;19.6;27.2;13.1;9.0;7.8;10.0;1.8;2.1;1.3;16;23;11;23;31;16
"....Eastern Samar 1/, 3/";29070;28924;32187;49.5;37.7;33.4;4.6;7.3;6.9;2.3;2.7;2.3;45;32;29;54;43;38
"....Leyte";23574;26570;33785;28.2;27.6;27.6;6.6;7.5;6.4;1.9;2.1;1.8;25;24;24;32;32;31
"....Northern Samar 1/";25971;26572;33472;34.3;25.9;29.2;6.7;7.9;7.9;2.3;2.0;2.3;30;22;25;39;30;34
