"Table 1. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision, by Region and Province: 2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence Among Families (%) 2018";"Poverty Incidence Among Families (%) 2021";"Poverty Incidence Among Families (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limits) 2018";"95% Confidence Interval (Lower Limits) 2021";"95% Confidence Interval (Lower Limits) 2023";"95% Confidence Interval (Upper Limits) 2018";"95% Confidence Interval (Upper Limits) 2021";"95% Confidence Interval (Upper Limits) 2023"
"....Isabela City";25870;23925;29770;41.6;12.7;10.0;8.5;13.4;17.0;3.5;1.7;1.7;35;9;7;49;16;13
"..Region X (Northern Mindanao)";24835;28836;33513;17.3;19.2;18.4;3.8;4.4;4.1;0.7;0.8;0.7;16;18;17;19;21;20
"....Bukidnon";25624;29040;32992;22.3;22.8;20.2;7.3;9.2;8.9;1.6;2.1;1.8;19;19;17;26;27;24
"....Camiguin";26042;28514;32275;17.9;14.7;9.4;9.9;10.3;13.8;1.8;1.5;1.3;15;12;7;21;18;12
"....Lanao del Norte";24450;28589;32899;19.0;25.5;25.2;6.9;7.3;7.1;1.3;1.9;1.8;17;22;22;22;29;29
"....Misamis Occidental";24505;30062;34598;19.5;18.3;22.6;8.7;10.2;6.7;1.7;1.9;1.5;16;15;20;23;22;26
"....Misamis Oriental";24118;28270;34368;11.4;13.0;12.0;7.4;7.4;7.1;0.8;1.0;0.9;10;11;10;13;15;14
"..Region XI (Davao Region)";25953;28102;31521;13.9;11.9;11.3;5.1;4.8;9.2;0.7;0.6;1.0;13;11;9;15;13;13
"....Davao del Norte";27034;27354;31286;10.3;7.3;7.3;13.3;16.1;16.7;1.4;1.2;1.2;8;5;5;13;10;10
"....Davao del Sur";25807;29749;31331;8.1;7.2;9.1;14.3;10.7;20.8;1.2;0.8;1.9;6;6;5;10;9;13
"....Davao Oriental";26347;27806;33617;27.7;21.8;29.1;6.7;8.2;6.3;1.8;1.8;1.8;24;18;26;31;25;33
"....Davao de Oro";25867;26161;29573;18.6;17.7;7.1;8.4;9.0;13.3;1.6;1.6;0.9;16;15;5;22;21;9
