"Table 1a. Annual Per Capita Poverty Threshold and Poverty Incidence Among Families with Measures of Precision"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Families (%) 2018";"Poverty Incidence among Families (%) 2021";"Poverty Incidence among Families (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"....Nueva Ecija 1/, a/, b/, c/";25466;29751;36339;6.6;10.0;6.9;13.4;12.7;15.3;0.9;1.3;1.0;4.9;7.5;4.8;8.3;12.4;8.9
"....Pampanga (w/o the City of Angeles) 2/, a/, b/, c/";26585;33593;38397;2.3;3.3;1.2;31.6;18.9;24.6;0.7;0.6;0.3;0.9;2.1;0.6;3.7;4.5;1.8
"....City of Angeles 2/, 3/, a/, b/, c/";27086;34373;38167;1.1;1.5;0.3;30.2;23.7;48.8;0.3;0.4;0.1;0.4;0.8;0.0;1.8;2.2;0.6
"....Tarlac a/, c/";25386;29704;36682;7.7;8.1;6.7;11.0;9.8;16.2;0.8;0.8;1.1;6.1;6.5;4.6;9.4;9.7;8.8
"....Zambales (w/o the City of Olongapo) 1/, 2/, a/, c/";29897;34181;39714;13.7;21.4;13.3;11.3;7.8;10.4;1.5;1.7;1.4;10.6;18.1;10.6;16.7;24.6;16.0
"....City of Olongapo 1/, 3/, a/, b/, c/";30700;35311;41565;3.6;7.6;7.5;16.7;11.7;13.6;0.6;0.9;1.0;2.4;5.9;5.5;4.8;9.4;9.5
"..Region IV-A (CALABARZON) 1/, 2/";27928;31059;37096;5.1;7.2;5.3;7.3;6.4;6.7;0.4;0.5;0.4;4.3;6.3;4.6;5.8;8.2;6.0
"....Batangas 1/, 3/, a/, b/, c/";33068;30828;35380;8.6;4.3;4.9;12.7;19.2;16.2;1.1;0.8;0.8;6.4;2.7;3.3;10.7;5.9;6.4
"....Cavite 1/, 2/, a/, b/, c/";29157;35843;41757;3.7;7.1;4.3;18.3;14.6;16.4;0.7;1.0;0.7;2.4;5.1;2.9;5.0;9.1;5.7
"....Laguna 1/, 3/, a/, b/, c/";23688;29892;38492;2.7;6.9;5.4;20.1;14.6;13.3;0.5;1.0;0.7;1.6;4.9;4.0;3.8;8.9;6.9
"....Quezon (w/o the City of Lucena) 1/, 2/, a/, b/, c/";22773;27082;28988;10.2;17.7;7.5;15.3;10.5;15.1;1.6;1.9;1.1;7.2;14.0;5.3;13.3;21.4;9.7
"....City of Lucena 1/, 2/, a/, b/, c/";23536;28324;29429;3.1;6.4;2.9;21.2;17.3;22.5;0.7;1.1;0.6;1.8;4.3;1.6;4.4;8.6;4.1
"....Rizal 3/, a/, b/, c/";28647;32217;39055;3.3;4.3;5.6;17.1;16.8;13.5;0.6;0.7;0.8;2.2;2.9;4.2;4.5;5.7;7.1
"..MIMAROPA Region 1/, 3/";23315;26321;30472;10.5;15.0;16.3;6.5;5.1;6.6;0.7;0.8;1.1;9.2;13.5;14.2;11.8;16.5;18.4
"....Marinduque 1/, 2/, a/, c/";24054;26959;30493;10.0;15.6;8.5;10.6;8.1;11.2;1.1;1.3;1.0;7.9;13.2;6.6;12.0;18.1;10.4
"....Occidental Mindoro 1/, a/, c/";21341;26661;29253;16.1;23.0;20.6;13.1;8.6;13.8;2.1;2.0;2.8;11.9;19.1;15.0;20.2;26.8;26.2
"....Oriental Mindoro 1/, 3/, a/, b/, c/";24470;26265;31191;7.3;12.8;14.1;19.0;14.7;12.3;1.4;1.9;1.7;4.6;9.1;10.7;10.0;16.5;17.5
"....Palawan (w/o the City of Puerto Princesa) 2/, 3/, a/, b/, c/";23415;24002;29552;10.0;10.9;19.6;13.7;12.4;12.2;1.4;1.3;2.4;7.3;8.2;14.9;12.7;13.5;24.3
"....City of Puerto Princesa a/, b/, c/";23541;24987;30465;2.7;4.8;4.1;23.6;19.0;17.1;0.6;0.9;0.7;1.5;3.0;2.7;4.0;6.6;5.5
"....Romblon 1/, 2/";24087;28749;33379;19.7;31.0;23.0;8.8;5.8;7.4;1.7;1.8;1.7;16.3;27.5;19.6;23.1;34.5;26.3
"..Region V (Bicol Region)";24461;27675;33575;20.0;21.9;20.3;4.0;4.0;3.7;0.8;0.9;0.8;18.4;20.2;18.8;21.6;23.6;21.8
"....Albay b/";24902;27346;35164;15.0;15.4;18.1;9.9;10.1;7.2;1.5;1.6;1.3;12.1;12.4;15.5;17.9;18.5;20.6
"....Camarines Norte 1/, 3/";25051;27571;33747;22.4;16.6;17.7;7.1;9.8;7.2;1.6;1.6;1.3;19.3;13.4;15.2;25.5;19.8;20.2
"....Camarines Sur 1/, 2/";24271;28651;33911;21.0;29.8;22.4;8.7;7.1;8.1;1.8;2.1;1.8;17.4;25.7;18.9;24.5;33.9;26.0
"....Catanduanes 2/, 3/";24380;28014;31832;14.4;16.8;23.5;8.7;8.7;8.1;1.2;1.5;1.9;11.9;13.9;19.8;16.8;19.7;27.2
"....Masbate 1/, 2/, 3/, c/";22911;25545;28627;25.8;20.2;12.9;7.5;8.7;10.5;1.9;1.8;1.4;22.0;16.7;10.2;29.6;23.6;15.5
"....Sorsogon 2/, 3/";26069;27133;34371;19.6;21.7;28.4;8.1;7.8;6.5;1.6;1.7;1.9;16.5;18.4;24.7;22.7;25.1;32.0
"..Region VI (Western Visayas) r2, 2/";25232;27339;33122;10.1;12.1;9.8;6.3;6.7;6.4;0.6;0.8;0.6;8.9;10.5;8.6;11.4;13.7;11.1
"....Aklan 1/, 2/, 3/, a/, b/, c/";23745;26837;30138;8.8;13.9;3.1;14.0;12.2;17.1;1.2;1.7;0.5;6.3;10.6;2.1;11.2;17.3;4.1
