"Table 2a. Annual Per Capita Poverty Threshold and Poverty Incidence Among Population with Measures of Precision,  by Region, Province and Highly Urbanized Cities:  2018, 2021, and 2023"

"Geolocation";"Annual Per Capita Poverty Threshold (in PhP) 2018";"Annual Per Capita Poverty Threshold (in PhP) 2021";"Annual Per Capita Poverty Threshold (in PhP) 2023";"Poverty Incidence among Population (%) 2018";"Poverty Incidence among Population (%) 2021";"Poverty Incidence among Population (%) 2023";"Coefficient of Variation 2018";"Coefficient of Variation 2021";"Coefficient of Variation 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"....Davao Occidental 2/, 3/, c/";25356;28511;28905;41;43;28;6;7;11;3;3;3;36;38;22;46;49;34
"..Region XII (SOCCSKSARGEN) 2/, 3/, 4/";25023;26443;29379;27;27;23;5;5;6;1;1;1;25;25;20;30;30;26
"....Cotabato c/";25020;27473;31276;29;32;24;10;9;13;3;3;3;24;26;18;35;38;30
"....Sarangani 2/, 3/";23282;24070;27755;42;41;31;8;7;10;4;3;3;35;36;25;49;47;37
"....South Cotabato (w/o the City of Gen. Santos) a/, b/, c/";25107;24219;28134;20;18;18;14;13;14;3;2;2;15;14;13;26;23;23
"....City of General Santos (Dadiangas) 2/, 3/, a/, b/, c/";25518;24930;28580;15;14;8;12;10;15;2;1;1;11;11;6;18;17;11
"....Sultan Kudarat c/";23775;25295;29215;32;30;34;8;9;10;3;3;3;26;25;28;37;36;41
"..Region XIII (Caraga) 2/, 3/";25375;27335;29565;31;33;21;3;3;5;1;1;1;29;31;19;33;35;23
"....Agusan del Norte (w/o the City of Butuan) 2/, c/";23585;27090;29101;28;32;23;8;7;10;2;2;2;24;28;18;32;37;27
"....City of Butuan 1/, 2/, c/";24040;28455;29503;21;29;17;10;7;10;2;2;2;17;25;13;25;33;20
"....Agusan del Sur 2/";24655;27821;29210;38;41;32;6;6;8;2;3;3;33;36;27;43;46;37
"....Surigao del Norte 2/, 3/, b/, c/";28293;26444;29865;34;28;10;6;11;12;2;3;1;30;22;8;38;34;12
"....Surigao del Sur 2/, 3/, c/";24873;26441;28997;25;31;16;8;7;11;2;2;2;21;27;13;30;36;20
"....Dinagat Islands a/";26409;28907;33989;33;33;29;10;10;8;3;3;2;26;27;25;39;40;34
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) r1, 1/, 3/, 5/";27715;27234;30922;60;35;32;2;4;3;1;1;1;58;33;30;63;38;34
"....Basilan 1/, 3/";26951;26728;31577;74;54;46;3;5;6;2;3;3;69;48;41;78;59;51
"....Lanao del Sur 1/, 2/, 3/";29224;29083;33513;71;11;18;3;10;10;2;1;2;67;9;14;75;13;21
"....Maguindanao 1/";25368;25371;27965;49;38;42;7;8;4;3;3;2;42;32;38;55;44;46
"......Maguindanao del Norte";..;..;28024;..;..;40;..;..;6;..;..;2;..;..;36;..;..;45
"......Maguindanao del Sur";..;..;27919;..;..;43;..;..;6;..;..;3;..;..;38;..;..;49
"....Sulu r1, 1/, 2/, 3/, c/";29150;29195;30407;83;53;21;2;5;11;2;3;2;79;48;16;86;58;25
"....Tawi-tawi 1/, 3/";21264;26336;31380;22;37;42;8;9;8;2;3;4;19;30;35;26;43;49
"....Cotabato City";30349;33890;38572;42;40;45;6;7;7;3;3;3;37;34;39;47;45;51
